@relation 2011.04.28-Joggen-SomeOtherText

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
'2011-07-05 10:02:40.057',16,31,-45
'2011-07-05 10:02:40.097',92,64,9
'2011-07-05 10:02:40.137',99,44,-33
'2011-07-05 10:02:40.177',124,58,-31
'2011-07-05 10:02:40.217',127,-13,21
'2011-07-05 10:02:40.257',127,-32,52
'2011-07-05 10:02:40.297',127,-99,21
'2011-07-05 10:02:40.337',127,-46,68
'2011-07-05 10:02:40.377',126,-56,74
'2011-07-05 10:02:40.417',124,-55,84
'2011-07-05 10:02:40.457',57,-41,55
'2011-07-05 10:02:40.497',18,-7,31
'2011-07-05 10:02:40.537',79,11,44
'2011-07-05 10:02:40.577',127,20,21
'2011-07-05 10:02:40.617',127,112,-86
'2011-07-05 10:02:40.657',127,126,-123
'2011-07-05 10:02:40.697',68,127,-128
'2011-07-05 10:02:40.737',43,114,-97
'2011-07-05 10:02:40.777',120,65,-23
'2011-07-05 10:02:40.817',82,71,-37
'2011-07-05 10:02:40.857',82,38,-16
'2011-07-05 10:02:40.897',111,59,-29
'2011-07-05 10:02:40.937',127,15,-12
'2011-07-05 10:02:40.977',127,-65,35
'2011-07-05 10:02:41.017',50,30,33
'2011-07-05 10:02:41.057',127,-64,64
'2011-07-05 10:02:41.097',127,-46,86
'2011-07-05 10:02:41.137',126,-47,68
'2011-07-05 10:02:41.177',91,-37,97
'2011-07-05 10:02:41.217',8,-28,24
'2011-07-05 10:02:41.257',50,-8,29
'2011-07-05 10:02:41.297',110,13,59
'2011-07-05 10:02:41.337',127,44,-21
'2011-07-05 10:02:41.377',127,127,-128
'2011-07-05 10:02:41.417',111,127,-128
'2011-07-05 10:02:41.457',21,125,-111
'2011-07-05 10:02:41.497',110,95,-33
'2011-07-05 10:02:41.537',13,90,1
'2011-07-05 10:02:41.577',88,33,-14
'2011-07-05 10:02:41.617',110,49,-29
'2011-07-05 10:02:41.657',127,24,-12
'2011-07-05 10:02:41.697',127,-43,37
'2011-07-05 10:02:41.737',58,28,41
'2011-07-05 10:02:41.777',127,-62,68
'2011-07-05 10:02:41.817',127,-46,77
'2011-07-05 10:02:41.857',127,-60,67
'2011-07-05 10:02:41.897',111,-33,85
'2011-07-05 10:02:41.937',-11,-45,28
'2011-07-05 10:02:41.977',21,-6,39
'2011-07-05 10:02:42.017',88,2,51
'2011-07-05 10:02:42.057',115,26,50
'2011-07-05 10:02:42.097',127,51,-66
'2011-07-05 10:02:42.137',127,126,-128
'2011-07-05 10:02:42.177',47,127,-128
'2011-07-05 10:02:42.217',45,83,-38
'2011-07-05 10:02:42.257',-4,-128,-28
'2011-07-05 10:02:42.297',24,29,-60
'2011-07-05 10:02:42.337',102,58,-39
'2011-07-05 10:02:42.377',127,32,-13
'2011-07-05 10:02:42.417',127,-11,12
'2011-07-05 10:02:42.457',124,-43,49
'2011-07-05 10:02:42.497',127,-48,10
'2011-07-05 10:02:42.577',127,-53,71
'2011-07-05 10:02:42.617',107,-39,87
'2011-07-05 10:02:42.657',11,-42,15
'2011-07-05 10:02:42.697',26,-7,42
'2011-07-05 10:02:42.737',66,13,43
'2011-07-05 10:02:42.777',122,33,43
'2011-07-05 10:02:42.817',127,82,-66
'2011-07-05 10:02:42.857',127,119,-116
'2011-07-05 10:02:42.897',93,127,-128
'2011-07-05 10:02:42.937',31,125,-101
'2011-07-05 10:02:42.977',107,86,-29
'2011-07-05 10:02:43.017',-2,74,-107
'2011-07-05 10:02:43.057',75,87,18
'2011-07-05 10:02:43.097',101,48,-29
'2011-07-05 10:02:43.137',127,37,-6
'2011-07-05 10:02:43.177',127,-32,44
'2011-07-05 10:02:43.217',100,-21,45
'2011-07-05 10:02:43.257',127,-82,69
'2011-07-05 10:02:43.297',127,-58,73
'2011-07-05 10:02:43.337',127,-51,67
'2011-07-05 10:02:43.377',105,-37,83
'2011-07-05 10:02:43.417',8,-36,28
'2011-07-05 10:02:43.457',37,-17,25
'2011-07-05 10:02:43.497',98,-6,35
