@relation test

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {Joggen,Spazieren}

@data
'2011-07-05 10:04:19.273',-125,127,123,Joggen
'2011-07-05 10:04:19.313',-91,127,97,Joggen
'2011-07-05 10:04:19.353',-126,35,40,Joggen
'2011-07-05 10:04:19.393',-119,53,89,Joggen
'2011-07-05 10:04:19.433',-70,12,-3,Joggen
'2011-07-05 10:04:19.473',-106,25,28,Joggen
'2011-07-05 10:04:19.513',-128,-13,7,Joggen
'2011-07-05 10:04:19.553',-128,-79,-69,Joggen
'2011-07-05 10:04:19.593',-35,11,-33,Joggen
'2011-07-05 10:04:19.633',-128,-90,-99,Joggen
'2011-07-05 10:04:19.673',-108,-86,-80,Joggen
'2011-07-05 10:04:19.713',-94,-70,-98,Joggen
'2011-07-05 10:04:19.753',-92,-48,-99,Joggen
'2011-07-05 10:04:19.793',18,-32,-26,Joggen
'2011-07-05 10:04:19.833',-34,-7,-39,Joggen
'2011-07-05 10:04:19.873',-96,-16,-61,Joggen
'2011-07-05 10:04:19.913',-121,-6,-49,Joggen
'2011-07-05 10:04:19.953',-128,34,66,Joggen
'2011-07-05 10:04:19.993',-128,127,123,Joggen
'2011-07-05 10:04:20.033',-101,127,123,Joggen
'2011-07-05 10:04:20.073',-89,76,0,Joggen
'2011-07-05 10:04:20.113',50,127,110,Joggen
'2011-07-05 10:04:20.153',-88,-30,-4,Joggen
'2011-07-05 10:04:20.193',-102,33,9,Joggen
'2011-07-05 10:04:20.233',-128,10,19,Joggen
'2011-07-05 10:04:20.273',-128,-45,-33,Joggen
'2011-07-05 10:04:20.313',-128,-68,-62,Joggen
'2011-07-05 10:04:20.353',-126,-85,-41,Joggen
'2011-07-05 10:04:20.393',-128,-68,-102,Joggen
'2011-07-05 10:04:20.433',-110,-61,-92,Joggen
'2011-07-05 10:04:20.473',-107,-53,-91,Joggen
'2011-07-05 10:04:20.513',-46,-25,-86,Joggen
'2011-07-05 10:04:20.553',-16,-9,-36,Joggen
'2011-07-05 10:04:20.593',-68,-10,-39,Joggen
'2011-07-05 10:04:20.633',-128,42,-48,Joggen
'2011-07-05 10:04:20.673',-128,42,74,Joggen
'2011-07-05 10:04:20.713',-128,88,110,Joggen
'2011-07-05 10:04:20.753',-125,127,123,Joggen
'2011-07-05 10:04:20.793',-94,126,81,Joggen
'2011-07-05 10:04:20.833',-106,63,26,Joggen
'2011-07-05 10:04:20.873',-104,9,19,Joggen
'2011-07-05 10:04:20.913',-114,34,38,Joggen
'2011-07-05 10:04:20.953',-123,19,31,Joggen
'2011-07-05 10:04:20.993',-128,-31,-20,Joggen
'2011-07-05 10:04:21.033',-128,-85,-51,Joggen
'2011-07-05 10:04:21.073',-75,19,41,Joggen
'2011-07-05 10:04:21.113',-128,-104,-88,Joggen
'2011-07-05 10:04:21.153',-72,-57,-87,Joggen
'2011-07-05 10:04:21.193',-102,-57,-83,Joggen
'2011-07-05 10:04:21.233',-67,-36,-87,Joggen
'2011-07-05 10:04:21.273',-12,-4,-41,Joggen
'2011-07-05 10:04:21.313',-58,-4,-43,Joggen
'2011-07-05 10:04:21.353',-115,-12,-23,Joggen
'2011-07-05 10:04:21.393',-128,27,71,Joggen
'2011-07-05 10:04:21.433',-128,83,116,Joggen
'2011-07-05 10:04:21.473',-118,127,123,Joggen
'2011-07-05 10:04:21.513',-85,119,123,Joggen
'2011-07-05 10:04:21.553',-128,127,123,Joggen
'2011-07-05 10:04:21.593',-6,98,77,Joggen
'2011-07-05 10:04:21.633',-83,12,14,Joggen
'2011-07-05 10:04:21.673',-128,18,11,Joggen
'2011-07-05 10:04:21.713',-128,-46,-29,Joggen
'2011-07-05 10:04:21.753',-128,-92,-59,Joggen
'2011-07-05 10:04:21.793',-57,-3,-59,Joggen
'2011-07-05 10:04:21.833',-128,-96,-105,Joggen
'2011-07-05 10:04:21.873',-110,-59,-92,Joggen
'2011-07-05 10:04:21.913',-106,-62,-82,Joggen
'2011-07-05 10:04:21.953',-85,-32,-106,Joggen
'2011-07-05 10:04:21.993',-30,-9,-48,Joggen
'2011-07-05 10:04:22.033',-32,4,-36,Joggen
'2011-07-05 10:04:22.073',-69,0,-67,Joggen
'2011-07-05 10:04:22.113',-128,15,-38,Joggen
'2011-07-05 10:04:22.153',-128,82,123,Joggen
'2011-07-05 10:04:22.193',-128,122,123,Joggen
'2011-07-05 10:04:22.233',-106,127,123,Joggen
'2011-07-05 10:04:22.273',-104,65,27,Joggen
'2011-07-05 10:04:22.313',-16,54,19,Joggen
'2011-07-05 10:04:22.353',-105,-1,8,Joggen
'2011-07-05 10:04:22.393',-111,14,35,Joggen
'2011-07-05 10:04:22.433',-127,10,22,Joggen
'2011-07-05 10:04:22.473',-128,-42,-34,Joggen
'2011-07-05 10:04:22.513',-128,-74,-70,Joggen
'2011-07-05 10:04:22.553',-106,-48,-5,Joggen
'2011-07-05 10:04:22.593',-128,-79,-103,Joggen
'2011-07-05 10:04:22.633',-113,-66,-99,Joggen
'2011-07-05 10:04:22.673',-102,-47,-82,Joggen
'2011-07-05 10:04:22.713',-59,-26,-88,Joggen
'2011-07-05 10:04:22.753',-6,-8,-34,Joggen
'2011-07-05 10:04:22.793',-48,1,-38,Joggen
'2011-07-05 10:04:22.833',-111,15,-66,Joggen
'2011-07-05 10:04:22.873',-128,25,31,Joggen
'2011-07-05 10:04:22.913',-128,74,98,Joggen
'2011-07-05 10:04:22.953',-126,127,123,Joggen
'2011-07-05 10:04:22.993',-87,121,98,Joggen
'2011-07-05 10:04:23.033',-90,74,35,Joggen
'2011-07-05 10:04:23.073',4,50,93,Joggen
'2011-07-05 10:04:23.113',-83,39,-13,Joggen
'2011-07-05 10:04:23.153',-111,27,23,Joggen
'2011-07-05 10:04:23.193',-128,-6,-6,Joggen
'2011-07-05 10:04:23.233',-128,-64,-66,Joggen
'2011-07-05 10:04:23.273',-42,-5,-52,Joggen
'2011-07-05 10:04:23.313',-128,-105,-111,Joggen
'2011-07-05 10:04:23.353',-118,-62,-117,Joggen
'2011-07-05 10:04:23.393',-109,-63,-93,Joggen
'2011-07-05 10:04:23.433',-84,-42,-96,Joggen
'2011-07-05 10:04:23.473',-4,-32,-35,Joggen
'2011-07-05 10:04:23.513',-31,-12,-40,Joggen
'2011-07-05 10:04:23.553',-89,-21,-62,Joggen
'2011-07-05 10:04:23.593',-120,-8,-48,Joggen
'2011-07-05 10:04:23.633',-128,27,53,Joggen
