@relation test

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
'2010-06-26 01:04:53.32',-107,64,26
'2010-06-26 01:04:53.36',-9,46,51
'2010-06-26 01:04:53.4',-120,78,22
'2010-06-26 01:04:53.44',-128,20,45
'2010-06-26 01:04:53.48',-128,-4,9
'2010-06-26 01:04:53.52',-128,-81,-68
'2010-06-26 01:04:53.56',-53,-25,-63
'2010-06-26 01:04:53.6',-128,-128,-98
'2010-06-26 01:04:53.64',-126,-68,-108
'2010-06-26 01:04:53.68',-101,-70,-97
'2010-06-26 01:04:53.72',-95,-41,-105
'2010-06-26 01:04:53.76',-31,-23,-56
'2010-06-26 01:04:53.8',-22,6,-38
'2010-06-26 01:04:53.84',-80,-7,-64
'2010-06-26 01:04:53.88',-113,1,-56
'2010-06-26 01:04:53.92',-128,23,54
'2010-06-26 01:04:53.96',-128,125,123
'2010-06-26 01:04:54.0',-111,127,123
'2010-06-26 01:04:54.04',-94,106,30
'2010-06-26 01:04:54.08',-54,20,34
'2010-06-26 01:04:54.12',-106,18,-58
'2010-06-26 01:04:54.16',-122,20,22
'2010-06-26 01:04:54.2',-128,3,16
'2010-06-26 01:04:54.24',-128,-69,-56
'2010-06-26 01:04:54.28',-96,-63,-71
'2010-06-26 01:04:54.32',-128,-128,-123
'2010-06-26 01:04:54.36',-128,-58,-113
'2010-06-26 01:04:54.4',-119,-77,-98
'2010-06-26 01:04:54.44',-101,-58,-104
'2010-06-26 01:04:54.48',-27,-32,-66
'2010-06-26 01:04:54.52',-15,0,-41
'2010-06-26 01:04:54.56',-90,-10,-70
'2010-06-26 01:04:54.6',-120,-4,-62
'2010-06-26 01:04:54.64',-128,9,30
'2010-06-26 01:04:54.68',-128,118,123
'2010-06-26 01:04:54.72',-108,127,123
'2010-06-26 01:04:54.76',-107,75,33
'2010-06-26 01:04:54.8',-20,65,33
'2010-06-26 01:04:54.84',-88,-12,8
'2010-06-26 01:04:54.88',-114,36,20
'2010-06-26 01:04:54.92',-128,5,22
'2010-06-26 01:04:54.96',-128,-60,-55
'2010-06-26 01:04:55.0',-79,-44,-62
'2010-06-26 01:04:55.04',-128,-128,-107
'2010-06-26 01:04:55.08',-128,-62,-117
'2010-06-26 01:04:55.12',-113,-79,-112
'2010-06-26 01:04:55.16',-105,-62,-107
'2010-06-26 01:04:55.2',-45,-33,-81
'2010-06-26 01:04:55.24',-6,10,-49
'2010-06-26 01:04:55.28',-78,-11,-58
'2010-06-26 01:04:55.32',-128,-10,-53
'2010-06-26 01:04:55.36',-128,44,108
'2010-06-26 01:04:55.4',-128,110,122
'2010-06-26 01:04:55.44',-117,127,123
'2010-06-26 01:04:55.48',-108,92,62
'2010-06-26 01:04:55.52',-47,55,12
'2010-06-26 01:04:55.56',-100,31,-13
'2010-06-26 01:04:55.6',-117,47,31
'2010-06-26 01:04:55.64',-127,9,25
'2010-06-26 01:04:55.68',-128,-58,-42
'2010-06-26 01:04:55.72',-97,-53,-64
'2010-06-26 01:04:55.76',-128,-128,-124
'2010-06-26 01:04:55.8',-128,-62,-128
'2010-06-26 01:04:55.84',-108,-77,-115
'2010-06-26 01:04:55.88',-100,-63,-94
'2010-06-26 01:04:55.92',-49,-27,-79
'2010-06-26 01:04:55.96',-11,12,-54
'2010-06-26 01:04:56.0',-81,0,-58
'2010-06-26 01:04:56.04',-128,-14,-33
'2010-06-26 01:04:56.08',-128,35,100
'2010-06-26 01:04:56.12',-128,103,121
'2010-06-26 01:04:56.16',-116,127,123
'2010-06-26 01:04:56.2',-91,104,102
'2010-06-26 01:04:56.24',-128,-126,-128
'2010-06-26 01:04:56.28',-4,68,-48
'2010-06-26 01:04:56.32',-98,22,14
'2010-06-26 01:04:56.36',-128,6,-3
'2010-06-26 01:04:56.4',-128,-36,-29
'2010-06-26 01:04:56.44',-128,-74,-76
'2010-06-26 01:04:56.48',-128,-128,-75
'2010-06-26 01:04:56.52',-128,-60,-112
'2010-06-26 01:04:56.56',-117,-79,-117
'2010-06-26 01:04:56.6',-113,-64,-102
'2010-06-26 01:04:56.64',-55,-36,-100
'2010-06-26 01:04:56.68',-2,-18,-42
'2010-06-26 01:04:56.72',-65,-8,-44
'2010-06-26 01:04:56.76',-128,-8,-48
'2010-06-26 01:04:56.8',-128,20,57
'2010-06-26 01:04:56.84',-128,91,114
'2010-06-26 01:04:56.88',-125,127,123
'2010-06-26 01:04:56.92',-104,127,93
'2010-06-26 01:04:56.96',-106,17,30
'2010-06-26 01:04:57.0',-119,26,89
'2010-06-26 01:04:57.04',-91,30,25
'2010-06-26 01:04:57.08',-115,25,29
'2010-06-26 01:04:57.12',-128,-34,-21
'2010-06-26 01:04:57.16',-128,-81,-81
'2010-06-26 01:04:57.2',-114,-57,21
'2010-06-26 01:04:57.24',-128,-84,-114
'2010-06-26 01:04:57.28',-112,-65,-114
'2010-06-26 01:04:57.32',-95,-65,-107
'2010-06-26 01:04:57.36',-58,-40,-89
'2010-06-26 01:04:57.4',-9,-26,-30
'2010-06-26 01:04:57.44',-59,8,-44
'2010-06-26 01:04:57.48',-124,19,-79
'2010-06-26 01:04:57.52',-128,20,32
'2010-06-26 01:04:57.56',-128,79,97
'2010-06-26 01:04:57.6',-128,127,123
'2010-06-26 01:04:57.64',-92,125,95
'2010-06-26 01:04:57.68',-116,55,48
'2010-06-26 01:04:57.72',-89,24,22
'2010-06-26 01:04:57.76',-67,2,-12
'2010-06-26 01:04:57.8',-108,26,15
'2010-06-26 01:04:57.84',-128,-19,0
'2010-06-26 01:04:57.88',-128,-80,-86
'2010-06-26 01:04:57.92',-48,16,82
'2010-06-26 01:04:57.96',-128,-85,-86
'2010-06-26 01:04:58.0',-110,-66,-96
'2010-06-26 01:04:58.04',-112,-67,-107
'2010-06-26 01:04:58.08',-74,-42,-98
'2010-06-26 01:04:58.12',8,-46,-26
'2010-06-26 01:04:58.16',-36,-1,-42
'2010-06-26 01:04:58.2',-100,-7,-84
'2010-06-26 01:04:58.24',-124,2,-61
'2010-06-26 01:04:58.28',-128,49,71
'2010-06-26 01:04:58.32',-128,127,123
'2010-06-26 01:04:58.36',-105,127,123
'2010-06-26 01:04:58.4',-69,52,5
'2010-06-26 01:04:58.44',127,127,-56
'2010-06-26 01:04:58.48',-80,-59,-25
'2010-06-26 01:04:58.52',-128,63,24
'2010-06-26 01:04:58.56',-128,-34,0
'2010-06-26 01:04:58.6',-128,-54,-48
'2010-06-26 01:04:58.64',-105,-59,-76
'2010-06-26 01:04:58.68',-128,-114,-74
'2010-06-26 01:04:58.72',-128,-84,-115
'2010-06-26 01:04:58.76',-101,-67,-91
'2010-06-26 01:04:58.8',-95,-41,-101
'2010-06-26 01:04:58.84',-39,-27,-87
'2010-06-26 01:04:58.88',-13,-14,-36
'2010-06-26 01:04:58.92',-83,-14,-52
'2010-06-26 01:04:58.96',-128,-19,-13
'2010-06-26 01:04:59.0',-128,29,114
'2010-06-26 01:04:59.04',-128,100,122
'2010-06-26 01:04:59.08',-116,127,123
'2010-06-26 01:04:59.12',-105,121,54
'2010-06-26 01:04:59.16',-93,100,27
'2010-06-26 01:04:59.2',-128,22,40
'2010-06-26 01:04:59.24',-127,10,19
'2010-06-26 01:04:59.28',-128,-43,-42
'2010-06-26 01:04:59.32',-128,-78,-72
'2010-06-26 01:04:59.36',-70,24,60
'2010-06-26 01:04:59.4',-128,-110,-127
'2010-06-26 01:04:59.44',-74,-37,-88
'2010-06-26 01:04:59.48',-88,-47,-88
'2010-06-26 01:04:59.52',-66,-45,-98
'2010-06-26 01:04:59.56',-2,-32,-37
'2010-06-26 01:04:59.6',-55,-4,-46
'2010-06-26 01:04:59.64',-120,12,-66
'2010-06-26 01:04:59.68',-128,-17,41
'2010-06-26 01:04:59.72',-128,127,123
'2010-06-26 01:04:59.76',-128,127,123
'2010-06-26 01:04:59.8',-91,124,98
'2010-06-26 01:04:59.84',-111,82,44
'2010-06-26 01:04:59.88',-30,27,123
'2010-06-26 01:04:59.92',-103,53,23
'2010-06-26 01:04:59.96',-101,32,21
'2010-06-26 01:05:00.0',-128,-4,2
'2010-06-26 01:05:00.04',-128,-80,-78
'2010-06-26 01:05:00.08',-33,3,-39
'2010-06-26 01:05:00.12',-128,-95,-120
'2010-06-26 01:05:00.16',-93,-47,-94
'2010-06-26 01:05:00.2',-96,-69,-109
'2010-06-26 01:05:00.24',-78,-57,-83
'2010-06-26 01:05:00.28',20,-30,-14
'2010-06-26 01:05:00.32',-44,0,-47
'2010-06-26 01:05:00.36',-123,-5,-46
'2010-06-26 01:05:00.4',-128,23,-29
'2010-06-26 01:05:00.44',-128,43,38
'2010-06-26 01:05:00.48',-128,116,123
'2010-06-26 01:05:00.52',-108,127,123
'2010-06-26 01:05:00.56',-109,90,17
'2010-06-26 01:05:00.6',-51,41,47
'2010-06-26 01:05:00.64',-103,46,9
'2010-06-26 01:05:00.68',-114,66,-9
'2010-06-26 01:05:00.72',-126,22,15
'2010-06-26 01:05:00.76',-128,-39,-17
'2010-06-26 01:05:00.8',-128,-64,-87
'2010-06-26 01:05:00.84',-128,-116,-88
'2010-06-26 01:05:00.88',-128,-69,-104
'2010-06-26 01:05:00.92',-116,-75,-107
'2010-06-26 01:05:00.96',-102,-60,-100
'2010-06-26 01:05:01.0',-51,-30,-79
'2010-06-26 01:05:01.04',-6,-8,-42
'2010-06-26 01:05:01.08',-65,-2,-44
'2010-06-26 01:05:01.12',-123,4,-53
'2010-06-26 01:05:01.16',-128,34,53
'2010-06-26 01:05:01.2',-128,93,110
'2010-06-26 01:05:01.24',-123,127,123
'2010-06-26 01:05:01.28',-95,126,114
'2010-06-26 01:05:01.32',-108,50,-4
'2010-06-26 01:05:01.36',-26,38,49
'2010-06-26 01:05:01.4',-88,94,18
'2010-06-26 01:05:01.44',-128,26,16
'2010-06-26 01:05:01.48',-128,-2,13
'2010-06-26 01:05:01.52',-128,-68,-74
'2010-06-26 01:05:01.56',-57,-24,-47
'2010-06-26 01:05:01.6',-128,-99,-112
'2010-06-26 01:05:01.64',-80,-63,-103
'2010-06-26 01:05:01.68',-92,-68,-107
'2010-06-26 01:05:01.72',-87,-41,-108
'2010-06-26 01:05:01.76',-14,-30,-25
